CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,633600,2055.512542,3.2441801483585855,47.12263673533809,6.878093910182654,43.61673508933425,145.961567236
1,902400,2929.601672,3.246455753546099,74.83362188755886,7.663947603072226,39.14431772468536,102.413158815
1,1113600,3615.459706,3.2466412589798854,100.38476238925627,8.330521000255262,36.012153380419726,82.985911427
1,1401600,4550.556685,3.2466871325627853,135.62116789561546,8.941989819011205,33.54957968775384,65.933585131
1,1536000,4980.245028,3.2423470234375,173.90214852981686,10.476690081858626,28.63499804384576,60.24474206
1,1747200,5672.900554,3.2468524233058607,214.12460670248092,11.324980485634345,26.490111870881172,52.889673261
1,1843200,5984.559836,3.2468315082465278,236.4987734125601,11.857165602630856,25.30115628421655,50.136266804
4,1113600,5823.094392,5.229071831896552,270.0264790268629,13.915093100478849,21.559323953763293,51.532328054
4,1401600,7325.828429,5.226761150827626,349.7321320736502,14.326785819431532,20.939797926839084,40.965025817
4,1747200,9141.603437,5.232144824290293,512.7619477249376,16.833814392893412,17.821272885523108,32.82968728
4,1958400,10241.70422,5.229628380310457,669.6113303405518,19.623272408645867,15.287970005849905,29.305466499
4,2150400,11236.796764,5.225444923735119,802.6159988894232,21.438569424745243,13.993471022078936,26.710867282
4,2208000,11543.345261,5.227964339221015,978.9746054239201,25.45505472146237,11.785478494652603,26.001751813
