PID   USER     TIME  COMMAND
    1 root      0:00 bash /init
    2 root      0:00 [kthreadd]
    3 root      0:00 [rcu_gp]
    4 root      0:00 [rcu_par_gp]
    6 root      0:00 [kworker/0:0H-ev]
    7 root      0:00 [kworker/u16:0+L]
    8 root      0:00 [mm_percpu_wq]
    9 root      0:00 [rcu_tasks_kthre]
   10 root      0:00 [ksoftirqd/0]
   11 root      0:00 [rcu_preempt]
   12 root      0:00 [rcuog/0]
   13 root      0:00 [rcuop/0]
   14 root      0:00 [migration/0]
   15 root      0:00 [cpuhp/0]
   17 root      0:00 [cpuhp/1]
   18 root      0:00 [migration/1]
   19 root      0:00 [ksoftirqd/1]
   21 root      0:00 [kworker/1:0H-ev]
   22 root      0:00 [rcuop/1]
   23 root      0:00 [cpuhp/2]
   24 root      0:00 [migration/2]
   25 root      0:00 [ksoftirqd/2]
   26 root      0:00 [kworker/2:0-eve]
   27 root      0:00 [kworker/2:0H-ev]
   28 root      0:00 [rcuop/2]
   29 root      0:00 [cpuhp/3]
   30 root      0:00 [migration/3]
   31 root      0:00 [ksoftirqd/3]
   32 root      0:00 [kworker/3:0-eve]
   33 root      0:00 [kworker/3:0H-ev]
   34 root      0:00 [rcuop/3]
   35 root      0:00 [cpuhp/4]
   36 root      0:00 [migration/4]
   37 root      0:00 [ksoftirqd/4]
   38 root      0:00 [kworker/4:0-mm_]
   39 root      0:00 [kworker/4:0H-ev]
   40 root      0:00 [rcuog/4]
   41 root      0:00 [rcuop/4]
   42 root      0:00 [cpuhp/5]
   43 root      0:00 [migration/5]
   44 root      0:00 [ksoftirqd/5]
   45 root      0:00 [kworker/5:0-mm_]
   46 root      0:00 [kworker/5:0H-ev]
   47 root      0:00 [rcuop/5]
   48 root      0:00 [cpuhp/6]
   49 root      0:00 [migration/6]
   50 root      0:00 [ksoftirqd/6]
   51 root      0:00 [kworker/6:0-mm_]
   52 root      0:00 [kworker/6:0H-ev]
   53 root      0:00 [rcuop/6]
   54 root      0:00 [cpuhp/7]
   55 root      0:00 [migration/7]
   56 root      0:00 [ksoftirqd/7]
   57 root      0:00 [kworker/7:0-mm_]
   58 root      0:00 [kworker/7:0H-ev]
   59 root      0:00 [rcuop/7]
   60 root      0:00 [netns]
   62 root      0:00 [kworker/u16:1+W]
   63 root      0:00 [kworker/u16:2+M]
   64 root      0:00 [msm_watchdog]
   65 root      0:00 [glink_rpm-glink]
   66 root      0:00 [oom_reaper]
   67 root      0:00 [writeback]
   68 root      0:00 [kcompactd0]
   69 root      0:00 [crypto]
   74 root      0:00 [kblockd]
   75 root      0:00 [blk_crypto_wq]
   76 root      0:00 [irq/13-tsens-up]
   77 root      0:00 [irq/14-tsens-cr]
   78 root      0:00 [md]
   79 root      0:00 [system]
   80 root      0:00 [devfreq_wq]
   81 root      0:00 [governor_msm_ad]
   82 root      0:00 [kworker/0:2-eve]
   83 root      0:00 [irq/229-qpnp_lc]
   84 root      0:00 [irq/57-arm-smmu]
   85 root      0:00 [irq/58-arm-smmu]
   86 root      0:00 [irq/55-cpr3]
   87 root      0:00 [irq/57-arm-smmu]
   88 root      0:00 [irq/58-arm-smmu]
   89 root      0:00 [irq/57-arm-smmu]
   90 root      0:00 [irq/58-arm-smmu]
   91 root      0:00 [kworker/0:1H-ev]
   92 root      0:00 [cfg80211]
   93 root      0:00 [irq/59-arm-smmu]
   94 root      0:00 [ipa_power_mgmt]
   95 root      0:00 [sps_ipa_power_m]
   96 root      0:00 [ipawq36]
   97 root      0:00 [iparepwq36]
   98 root      0:00 [kworker/u17:1-d]
   99 root      0:00 [ipawq33]
  100 root      0:00 [iparepwq33]
  101 root      0:00 [ipawq34]
  102 root      0:00 [iparepwq34]
  103 root      0:00 [ipa_rm_wq]
  104 root      0:00 [ipa_interrupt_w]
  105 root      0:00 [ipa_holb_wq]
  106 root      0:00 [irq/60-arm-smmu]
  107 root      0:00 [irq/61-arm-smmu]
  108 root      0:00 [irq/57-arm-smmu]
  109 root      0:00 [irq/58-arm-smmu]
  110 root      0:00 [kworker/2:1-eve]
  151 root      0:00 [kshrinkd0]
  152 root      0:00 [kswapd0]
  153 root      0:00 [ecryptfs-kthrea]
  188 root      0:00 [irq/225-wled_ov]
  189 root      0:00 [ad_calc_wq]
  190 root      0:00 [irq/105-arm-smm]
