CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,633600,2054.7523,3.2429802714646465,27.110711956716933,3.958565851086924,75.7850219714363,146.014824598
1,902400,2927.971891,3.2446497019060287,51.27880772148974,5.25441895935388,57.09480007602783,102.467650728
1,1113600,3612.716763,3.244178127693966,71.48362213443875,5.936582412869007,50.53412538326361,83.048147752
1,1401600,4544.490563,3.2423591345605027,100.97863620301501,6.666791724856339,44.99915587305446,66.021803973
1,1536000,4982.230046,3.2436393528645833,131.87243346549974,7.941554434405109,37.775979813260896,60.221490009
1,1747200,5672.900554,3.2468524233058607,176.3371224033073,9.32633702286421,32.166969654273444,52.889243602
1,1843200,5980.980482,3.2448895844184027,200.6487680360997,10.065468511566678,29.804871939667454,50.164616559
4,1113600,5822.529307,5.228564392061782,243.95423208407817,12.57191601924339,23.862711104719484,51.533912373
4,1401600,7324.576395,5.225867861729452,325.8943727883247,13.350834745026587,22.470505082969073,40.966754445
4,1747200,9136.870317,5.229435849931319,498.20154416665594,16.36245170767009,18.334660682871352,32.843036918
4,1958400,10236.462279,5.2269517356004895,677.1196424526548,19.85029491778826,15.113125585412021,29.315786566
4,2150400,11235.53425,5.224857817150298,782.2105158239228,20.89254572292191,14.359188390855595,26.709620109
4,2208000,11533.138551,5.223341735054348,977.3061900448797,25.43095382311812,11.796647584931858,26.021480353
