CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,633600,2055.146429,3.2436023184974743,33.52738924622727,4.894516772174305,61.29307834953646,145.985621971
1,902400,2927.629011,3.2442697373670213,59.00289366510761,6.0466384079155535,49.614344328457776,102.480370577
1,1113600,3612.847285,3.2442953349497126,83.53266526252406,6.937017963150676,43.2462481131799,83.045571949
1,1401600,4548.555834,3.245259584760274,127.97168773733824,8.441236573298315,35.539816636459754,65.961750779
1,1536000,4984.8792,3.2453640625,157.17535224451643,9.460302587601106,31.711459250065325,60.189479155
1,1747200,5670.434355,3.2454409083104396,207.72053167821124,10.990912731726288,27.295276318046106,52.912019062
1,1843200,5981.338225,3.2450836724175347,230.92608789607974,11.58399032968556,25.897811674722217,50.163194792
4,1113600,5817.11006,5.223697970545977,257.1754495619997,13.265686483049274,22.61473617542041,51.582242806
4,1401600,7326.186232,5.227016432648402,360.7888943228497,14.77724279311823,20.301486833505244,40.958142076
4,1747200,9134.644662,5.228162008928572,539.0868176504684,17.709582333677645,16.939981663458056,32.851076587
4,1958400,10240.655402,5.2290928319035945,679.976238528517,19.925276352355183,15.056252906853146,29.30290093
4,2150400,11242.69225,5.228186500186012,811.7049198329997,21.6673327566248,13.845728192284067,26.693607772
4,2208000,11543.789441,5.228165507699276,1009.7616353227197,26.250286414273454,11.428446732561234,25.996517887
