CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,633600,2056.907782,3.2463822316919195,41.774587754379205,6.093357531322005,49.233940148414774,145.862780673
1,902400,2929.630281,3.246487456781915,58.61708818642139,6.003116228076479,49.974044913024464,102.412392253
1,1113600,3615.764734,3.2469151706178163,79.0984941573292,6.563491421644641,45.70738052779046,82.978715228
1,1401600,4550.625711,3.2467363805650686,119.88947375678453,7.904583489944224,37.9526638413831,65.932256121
1,1536000,4987.365341,3.2469826438802083,149.91958256273327,9.019071272887057,33.262848349125896,60.159394248
1,1747200,5669.255627,3.2447662700320508,193.49145517213455,10.240315779307487,29.295971576014022,52.923865657
1,1843200,5983.72427,3.2463781846788193,216.38796616911978,10.850470883596849,27.648569653647353,50.143596595
4,1113600,5821.173549,5.227346936961207,232.783266076392,11.999658982047064,25.00071047425899,51.548632272
4,1401600,7330.840847,5.2303373623002285,328.62413634747486,13.453143909007728,22.299620224766276,40.937783994
4,1747200,9134.088418,5.227843645833333,501.2931578972187,16.470974244218663,18.213858849624543,32.856969988
4,1958400,10237.160894,5.227308463031045,662.8489411293103,19.434173946037777,15.436725061378992,29.319159676
4,2150400,11246.907101,5.2301465313430064,807.8291620892305,21.558649599814938,13.91552836419658,26.687139573
4,2208000,11541.124875,5.226958729619565,1004.9384420470399,26.1351355543976,11.4788002295064,26.006702959
